wbusiness_codewcust_numberwname_customerwclear_datewbuisness_yearwdoc_idwposting_datewdue_in_datewbaseline_create_datewcust_payment_termswconverted_usdwAging Bucket
0wCA02w0140105686wSYSC llcw2020-04-22 05:50:09.625000000w2020.0w2960623488.0w2020-03-30 00:00:00.000000000w2020-04-10 00:00:00.000000000w2020-03-31 00:00:00.000000000wCA10w2309.7899999999995w0-15
1wU001w0200744019wTARG usw2020-04-07 05:34:23.968750000w2020.0w1930659387.0w2020-03-19 00:00:00.000000000w2020-04-03 00:00:00.000000000w2020-03-19 00:00:00.000000000wNAA8w11173.02w0-15
2wU001w0200418007wAM w2020-03-27 15:02:39.437500000w2020.0w1930610806.0w2020-03-11 00:00:00.000000000w2020-03-26 00:00:00.000000000w2020-03-11 00:00:00.000000000wNAA8w3525.59w0-15
3wU001w0200739534wOK systemsw2020-05-03 15:51:26.187500000w2020.0w1930788296.0w2020-04-15 00:00:00.000000000w2020-04-30 00:00:00.000000000w2020-04-15 00:00:00.000000000wNAA8w121105.65w0-15
4wU001w0200353024wDECA corporationw2020-04-21 22:24:33.062500000w2020.0w1930817482.0w2020-04-23 00:00:00.000000000w2020-04-26 00:00:00.000000000w2020-04-16 00:00:00.000000000wNAM2w3726.06w
5wU001w0200744019wTARG associatesw2020-04-08 19:05:07.968750000w2020.0w1930676042.0w2020-03-21 00:00:00.000000000w2020-04-05 00:00:00.000000000w2020-03-21 00:00:00.000000000wNAA8w5893.01w0-15
6wCA02w0140106408wWAL-M corpw2020-03-31 22:46:01.250000000w2020.0w2960618790.0w2020-03-06 00:00:00.000000000w2020-03-16 00:00:00.000000000w2020-03-06 00:00:00.000000000wCA10w64982.589w16-30
7wU001w0200337148wCOAS llcw2020-03-16 23:37:29.185913086w2020.0w1930592246.0w2020-03-02 00:00:00.000000000w2020-03-17 00:00:00.000000000w2020-03-02 00:00:00.000000000wNAA8w11380.83w
8wU001w0200794332wCOST associatesw2020-04-21 11:12:02.945312500w2020.0w1930731070.0w2020-04-07 00:00:00.000000000w2020-04-22 00:00:00.000000000w2020-04-07 00:00:00.000000000wNAAXw3863.93w
9wU001w0200794332wCOST llcw2020-05-09 09:26:41.734375000w2020.0w1930803605.0w2020-04-23 00:00:00.000000000w2020-05-08 00:00:00.000000000w2020-04-23 00:00:00.000000000wNAAXw74453.01w0-15
10wU001w0200803720wDEC corpw2020-04-05 04:13:15.921875000w2020.0w1930698352.0w2020-03-25 00:00:00.000000000w2020-04-08 00:00:00.000000000w2020-03-16 00:00:00.000000000wNAM4w138.6w
11wU001w0200794332wCOST cow2020-03-27 22:13:12.490722656w2020.0w1930647189.0w2020-03-13 00:00:00.000000000w2020-03-28 00:00:00.000000000w2020-03-13 00:00:00.000000000wNAAXw32715.47w
12wU001w0200020431wDEC usw2020-05-18 11:17:04.281250000w2020.0w1930861637.0w2020-05-06 00:00:00.000000000w2020-05-24 00:00:00.000000000w2020-05-01 00:00:00.000000000wNAM4w174.72w
13wU001w0200769623wWAL-MAR associatesw2020-03-31 14:23:39.500000000w2020.0w1930635649.0w2020-03-12 00:00:00.000000000w2020-03-27 00:00:00.000000000w2020-03-12 00:00:00.000000000wNAH4w767.78w0-15
